Metodo,Nx,dx,dt,r,err_max,err_L2_global,err_L2_final,t_exec_s,GS_iter_prom,observacion
FTCS,50,0.02,0.01,0.25,7.72857149589079e-06,2.29197150343445e-06,5.46492531370133e-06,0.00320532,NaN,estable bajo r <= 0.5
Crank-Nicolson,50,0.02,0.01,0.25,1.54475262418297e-05,4.5810778203506e-06,1.09230517041964e-05,0.13285568,9,sistema implicito resuelto por Gauss-Seidel
