Nx,dx,dt,r,err_max_FTCS,err_L2_FTCS,err_max_CN,err_L2_CN,orden_FTCS,orden_CN
25,0.04,0.04,0.25,3.20490444311039e-05,1.01131701602702e-05,6.39372674771099e-05,2.01753632479321e-05,NaN,NaN
50,0.02,0.01,0.25,7.72857149589079e-06,2.29197150343445e-06,1.54475262418297e-05,4.5810778203506e-06,2.14157429559917,2.1388356730475
100,0.01,0.0025,0.25,1.93176732377065e-06,5.66692429353623e-07,3.8639904468285e-06,1.13351808496545e-06,2.01595127266335,2.01487966156283
200,0.005,0.000625,0.25,4.82918366073726e-07,1.41279076570635e-07,9.66883006547903e-07,2.82864238757288e-07,2.0040181107227,2.00262570907496
