r,dt,err_max_FTCS,err_L2_FTCS,err_max_CN,err_L2_CN,CN_iter_prom
0.1,0.004,6.18290192122561e-06,1.81774329604509e-06,1.54511323271489e-05,4.54255348496801e-06,6
0.25,0.01,7.72857149589079e-06,2.29197150343445e-06,1.54475262418297e-05,4.5810778203506e-06,9
0.4,0.016,2.14861120451104e-05,6.40169805591749e-06,1.53241008543636e-05,4.56573178407436e-06,11
0.5,0.02,3.09383478999115e-05,9.30698555657367e-06,1.54361502164857e-05,4.64353276810498e-06,12
