alpha2,dt,r,err_max_FTCS,err_L2_FTCS,err_max_CN,err_L2_CN
0.005,0.02,0.25,3.96082725329094e-06,1.18452415204355e-06,7.91667781419036e-06,2.367556805191e-06
0.01,0.01,0.25,7.72857149589079e-06,2.29197150343445e-06,1.54475262418297e-05,4.5810778203506e-06
0.05,0.002,0.25,3.17201977461101e-05,9.78814108792709e-06,6.34040147173831e-05,1.95647384772752e-05
0.1,0.001,0.25,4.95677491108015e-05,1.63634509950655e-05,9.90846820133617e-05,3.27089756404146e-05
