Nx,dx,dt,r,err_max_FTCS,err_L2_global_FTCS,err_rel_L2_global_FTCS,err_max_CN,err_L2_global_CN,err_rel_L2_global_CN,orden_FTCS,orden_CN,t_exec_FTCS,t_exec_CN,GS_iter_prom_CN
25,0.04,0.04,0.25,3.20490444311039e-05,1.01131701602702e-05,1.96039116891444e-05,6.39372674771099e-05,2.01753632479321e-05,3.91090066854272e-05,NaN,NaN,0.000945366666666667,0.0209291,9
50,0.02,0.01,0.25,7.72857149589079e-06,2.29197150343445e-06,4.65118119806619e-06,1.54475262418297e-05,4.5810778203506e-06,9.29654796884003e-06,2.14157429559917,2.1388356730475,0.00195083333333333,0.147308466666667,9
100,0.01,0.0025,0.25,1.93176732377065e-06,5.66692429353623e-07,1.1585670011004e-06,3.8639904468285e-06,1.13351808496545e-06,2.31740637489971e-06,2.01595127266335,2.01487966156283,0.0016615,1.09886503333333,8
200,0.005,0.000625,0.25,4.82918366073726e-07,1.41279076570635e-07,2.89377005751654e-07,9.66883006547903e-07,2.82864238757288e-07,5.79380955996557e-07,2.0040181107227,2.00262570907496,0.0136701,10.2108465333333,8
