alpha2,dt,r,err_max_FTCS,err_L2_global_FTCS,err_rel_L2_global_FTCS,err_max_CN,err_L2_global_CN,err_rel_L2_global_CN,t_exec_FTCS,t_exec_CN,GS_iter_prom_CN
0.005,0.02,0.25,3.96082725329094e-06,1.18452415204355e-06,2.35175103639064e-06,7.91667781419036e-06,2.367556805191e-06,4.70054085492124e-06,0.000827,0.0949536,9
0.01,0.01,0.25,7.72857149589079e-06,2.29197150343445e-06,4.65118119806619e-06,1.54475262418297e-05,4.5810778203506e-06,9.29654796884003e-06,0.00129893333333333,0.153024233333333,9
0.05,0.002,0.25,3.17201977461101e-05,9.78814108792709e-06,2.19900313095802e-05,6.34040147173831e-05,1.95647384772752e-05,4.39541285535498e-05,0.00207336666666667,0.8009967,9
0.1,0.001,0.25,4.95677491108015e-05,1.63634509950655e-05,4.10063661326723e-05,9.90846820133617e-05,3.27089756404146e-05,8.19678093172383e-05,0.0081659,1.66504763333333,9
