Metodo,Nx,dx,dt,r,err_max,err_rel_max,err_L2_global,err_rel_L2_global,err_L2_final,err_rel_L2_final,RMSE_global,RMSE_final,t_exec_s,GS_iter_prom,Observacion
FTCS,50,0.02,0.01,0.25,7.72857149589079e-06,7.72857149589079e-06,2.29197150343445e-06,4.65118119806619e-06,5.46492531370133e-06,8.11952835012145e-06,3.17778155365652e-06,5.4110823719124e-06,0.00185554,NaN,Explícito; estable si r <= 0.5
Crank-Nicolson,50,0.02,0.01,0.25,1.54475262418297e-05,1.54475262418297e-05,4.5810778203506e-06,9.29654796884003e-06,1.09230517041964e-05,1.62289551807244e-05,6.35159057237882e-06,1.08154328067173e-05,0.1606617,9,Implícito; sistema resuelto con Gauss-Seidel
